Game Title,User Rating,Age Group Targeted, Price ,Platform,Release Year,Genre,User Review Text,Game Mode
Tekken 7,33,Kids,36.80,PC,2021,Adventure,"Solid game, but too many bugs.",Offline
Tomb Raider (2013),39,All Ages,58.24,Xbox,2023,Simulation,"Solid game, but the graphics could be better.",Offline
The Sims 4,27,Adults,22.41,Nintendo Switch,2010,Action,"Disappointing game, but the gameplay is amazing.",Offline
Super Mario Odyssey,36,Adults,38.58,PlayStation,2018,Party,"Disappointing game, but too many bugs.",Offline
Stardew Valley,20,Teens,23.21,PlayStation,2014,Adventure,"Great game, but the gameplay is amazing.",Offline
Call of Duty: Modern Warfare 2,20,Adults,20.29,PlayStation,2017,Shooter,"Amazing game, but the gameplay is amazing.",Offline
Half-Life: Alyx,31,All Ages,23.97,Mobile,2018,Shooter,"Disappointing game, but the gameplay is amazing.",Offline
Fall Guys,26,All Ages,49.97,Mobile,2019,Sports,"Disappointing game, but too many bugs.",Offline
Call of Duty: Modern Warfare 2,33,Adults,49.12,Mobile,2019,Fighting,"Disappointing game, but the gameplay is amazing.",Offline
Among Us,40,Teens,53.78,Xbox,2010,RPG,"Solid game, but too many bugs.",Online
Super Smash Bros. Ultimate,28,Teens,47.51,PlayStation,2015,Adventure,"Disappointing game, but the graphics could be better.",Offline
Ghost of Tsushima,29,Teens,51.40,PlayStation,2023,Puzzle,"Solid game, but the gameplay is amazing.",Offline
Counter-Strike: Global Offensive,31,Adults,45.70,Mobile,2019,Action,"Amazing game, but the gameplay is amazing.",Online
Overwatch 2,29,Adults,38.60,PlayStation,2019,RPG,"Disappointing game, but too many bugs.",Online
Kingdom Hearts III,32,All Ages,45.81,PlayStation,2016,Simulation,"Solid game, but the gameplay is amazing.",Online
Tekken 7,25,Teens,44.71,Xbox,2011,Shooter,"Disappointing game, but too many bugs.",Online
Super Mario Odyssey,29,Kids,54.15,PC,2011,Fighting,"Great game, but the gameplay is amazing.",Offline
Bioshock Infinite,31,Kids,53.99,Nintendo Switch,2018,Strategy,"Great game, but the gameplay is amazing.",Online
Ghost of Tsushima,44,Kids,55.43,PC,2011,Shooter,"Disappointing game, but the gameplay is amazing.",Offline
Halo Infinite,39,All Ages,55.29,Xbox,2013,Party,"Disappointing game, but too many bugs.",Offline
The Sims 4,22,All Ages,32.72,Nintendo Switch,2012,Strategy,"Disappointing game, but too many bugs.",Offline
Portal 2,24,Teens,38.71,Nintendo Switch,2021,Puzzle,"Amazing game, but the graphics could be better.",Offline
Rocket League,40,Teens,45.24,PC,2012,Strategy,"Great game, but the graphics could be better.",Online
Among Us,33,Kids,37.98,PC,2011,Action,"Solid game, but the graphics could be better.",Online
Sid Meier’s Civilization VI,24,Teens,38.88,Nintendo Switch,2021,Shooter,"Disappointing game, but too many bugs.",Offline
Counter-Strike: Global Offensive,18,Adults,22.14,Xbox,2023,Fighting,"Disappointing game, but too many bugs.",Online
Just Dance 2024,30,Kids,43.09,Nintendo Switch,2013,Shooter,"Disappointing game, but the gameplay is amazing.",Online
Hitman 3,18,Kids,31.30,PC,2019,Puzzle,"Great game, but the graphics could be better.",Offline
The Elder Scrolls V: Skyrim,30,Kids,56.35,Nintendo Switch,2017,Simulation,"Disappointing game, but the graphics could be better.",Offline
Street Fighter V,31,Kids,35.73,Nintendo Switch,2014,Adventure,"Great game, but too many bugs.",Offline
The Elder Scrolls V: Skyrim,30,All Ages,31.43,Mobile,2019,RPG,"Amazing game, but too many bugs.",Online
Cuphead,35,Kids,46.54,Mobile,2022,Adventure,"Disappointing game, but the graphics could be better.",Offline
Cuphead,43,Kids,54.31,Nintendo Switch,2020,RPG,"Solid game, but the gameplay is amazing.",Online
Fall Guys,20,All Ages,22.37,PC,2016,Fighting,"Disappointing game, but the gameplay is amazing.",Offline
The Witcher 3: Wild Hunt,36,All Ages,53.20,PlayStation,2013,Shooter,"Amazing game, but the graphics could be better.",Online
The Witcher 3: Wild Hunt,36,Adults,48.34,PC,2011,Shooter,"Great game, but too many bugs.",Online
Overwatch 2,18,Adults,29.98,Mobile,2011,Adventure,"Amazing game, but the gameplay is amazing.",Offline
Tekken 7,14,Adults,24.38,Xbox,2019,Party,"Amazing game, but the graphics could be better.",Online
Tekken 7,36,Kids,50.84,Mobile,2019,Adventure,"Amazing game, but too many bugs.",Online
The Elder Scrolls V: Skyrim,20,Teens,22.59,PC,2014,Action,"Great game, but too many bugs.",Online
Just Dance 2024,39,All Ages,50.74,Mobile,2016,Sports,"Solid game, but the gameplay is amazing.",Offline
Minecraft,26,Teens,21.16,Xbox,2012,Strategy,"Disappointing game, but the graphics could be better.",Online
Hitman 3,28,All Ages,45.24,PC,2010,RPG,"Disappointing game, but the graphics could be better.",Offline
1000-Piece Puzzle,28,Adults,42.24,PC,2022,Strategy,"Amazing game, but the gameplay is amazing.",Online
Call of Duty: Modern Warfare 2,32,Teens,31.66,PC,2017,Simulation,"Solid game, but too many bugs.",Online
Cuphead,44,Adults,53.04,PlayStation,2018,Simulation,"Amazing game, but too many bugs.",Offline
Pokémon Scarlet & Violet,37,Teens,39.34,Nintendo Switch,2018,Adventure,"Amazing game, but too many bugs.",Offline
Tetris,40,All Ages,53.12,PlayStation,2010,Shooter,"Solid game, but the graphics could be better.",Offline
Just Dance 2024,25,All Ages,26.94,Mobile,2019,Action,"Disappointing game, but too many bugs.",Online
The Witcher 3: Wild Hunt,26,All Ages,28.94,PlayStation,2019,Shooter,"Great game, but too many bugs.",Offline
Stardew Valley,40,Kids,51.71,PC,2023,Party,"Amazing game, but too many bugs.",Offline
Street Fighter V,26,Teens,47.79,Xbox,2010,Party,"Disappointing game, but too many bugs.",Online
Cuphead,44,Kids,59.91,Mobile,2015,Action,"Solid game, but too many bugs.",Online
The Witcher 3: Wild Hunt,25,Adults,46.33,Mobile,2019,Simulation,"Amazing game, but too many bugs.",Offline
1000-Piece Puzzle,21,Kids,32.15,PlayStation,2018,Shooter,"Great game, but the gameplay is amazing.",Online
Pillars of Eternity II: Deadfire,31,Kids,40.50,Nintendo Switch,2017,Puzzle,"Amazing game, but too many bugs.",Offline
Tetris,30,Adults,39.79,Mobile,2018,Sports,"Great game, but the graphics could be better.",Online
Overwatch 2,24,Adults,23.20,Xbox,2010,Adventure,"Solid game, but the gameplay is amazing.",Online
Pillars of Eternity II: Deadfire,34,All Ages,59.39,PC,2023,Shooter,"Disappointing game, but too many bugs.",Offline
Portal 2,18,Teens,29.84,PlayStation,2012,Sports,"Disappointing game, but the gameplay is amazing.",Offline
Street Fighter V,28,Teens,51.39,Mobile,2012,Party,"Solid game, but too many bugs.",Offline
Minecraft,37,Adults,53.41,Mobile,2021,Fighting,"Great game, but the graphics could be better.",Offline
Portal 2,43,Teens,52.64,PC,2019,Party,"Solid game, but the graphics could be better.",Online
Super Smash Bros. Ultimate,31,Teens,34.23,Nintendo Switch,2014,Sports,"Great game, but too many bugs.",Offline
League of Legends,41,Adults,51.69,Mobile,2012,Puzzle,"Solid game, but too many bugs.",Online
Halo Infinite,36,All Ages,55.35,PlayStation,2019,Puzzle,"Solid game, but too many bugs.",Offline
Portal 2,34,Kids,30.55,Nintendo Switch,2014,Puzzle,"Solid game, but too many bugs.",Online
Tomb Raider (2013),33,All Ages,28.85,PlayStation,2013,Fighting,"Amazing game, but too many bugs.",Online
Minecraft,33,Kids,52.78,PlayStation,2014,Simulation,"Great game, but too many bugs.",Offline
Overwatch 2,34,Teens,45.15,Nintendo Switch,2010,Adventure,"Disappointing game, but the gameplay is amazing.",Online
1000-Piece Puzzle,28,Teens,36.17,Mobile,2018,Fighting,"Disappointing game, but the gameplay is amazing.",Offline
Pillars of Eternity II: Deadfire,38,Kids,46.21,PlayStation,2017,Action,"Disappointing game, but the gameplay is amazing.",Online
Red Dead Redemption 2,22,Kids,26.84,Xbox,2016,Strategy,"Great game, but the graphics could be better.",Offline
Counter-Strike: Global Offensive,37,Adults,52.80,Mobile,2011,Adventure,"Great game, but the gameplay is amazing.",Online
Tomb Raider (2013),34,All Ages,49.54,Nintendo Switch,2020,Puzzle,"Disappointing game, but the gameplay is amazing.",Online
Pillars of Eternity II: Deadfire,20,Teens,22.57,Mobile,2018,Shooter,"Great game, but the graphics could be better.",Offline
Cuphead,26,Adults,28.85,Nintendo Switch,2016,RPG,"Great game, but too many bugs.",Online
Tetris,44,Teens,58.48,PC,2011,Fighting,"Amazing game, but the gameplay is amazing.",Online
Pillars of Eternity II: Deadfire,39,Teens,50.55,Nintendo Switch,2018,Shooter,"Amazing game, but the graphics could be better.",Online
Kingdom Hearts III,45,All Ages,57.92,Xbox,2010,Fighting,"Great game, but too many bugs.",Offline
Hades,43,Kids,54.95,PC,2014,Adventure,"Solid game, but too many bugs.",Online
Pokémon Scarlet & Violet,31,All Ages,35.25,Xbox,2023,Adventure,"Amazing game, but the gameplay is amazing.",Online
Stardew Valley,36,Kids,54.12,Nintendo Switch,2017,Puzzle,"Amazing game, but the gameplay is amazing.",Offline
Minecraft,30,Kids,54.82,Nintendo Switch,2013,Puzzle,"Great game, but the gameplay is amazing.",Offline
Tekken 7,39,All Ages,57.68,PC,2019,Simulation,"Disappointing game, but the graphics could be better.",Online
Just Dance 2024,28,Kids,22.09,Xbox,2023,Shooter,"Amazing game, but the graphics could be better.",Offline
The Elder Scrolls V: Skyrim,15,All Ages,20.25,PC,2023,Action,"Solid game, but the gameplay is amazing.",Offline
Kingdom Hearts III,37,Adults,38.01,Mobile,2019,Sports,"Disappointing game, but the gameplay is amazing.",Online
Pillars of Eternity II: Deadfire,40,Kids,59.95,PC,2022,Sports,"Great game, but the graphics could be better.",Online
Half-Life: Alyx,29,All Ages,36.13,Mobile,2018,Strategy,"Amazing game, but the gameplay is amazing.",Offline
Animal Crossing: New Horizons,29,Teens,42.74,PlayStation,2010,RPG,"Disappointing game, but too many bugs.",Offline
The Legend of Zelda: Breath of the Wild,14,All Ages,25.63,PlayStation,2012,Party,"Amazing game, but the gameplay is amazing.",Online
Stardew Valley,27,All Ages,35.67,Nintendo Switch,2011,Sports,"Great game, but the graphics could be better.",Online
Grand Theft Auto V,22,Adults,29.27,PC,2022,Puzzle,"Amazing game, but the gameplay is amazing.",Offline
Spelunky 2,41,Teens,50.71,Xbox,2014,RPG,"Amazing game, but the graphics could be better.",Offline
Bioshock Infinite,24,Teens,33.47,Xbox,2010,Party,"Solid game, but the graphics could be better.",Offline
Fall Guys,29,Kids,50.21,Xbox,2014,RPG,"Solid game, but the gameplay is amazing.",Offline
Super Mario Odyssey,28,Teens,21.48,PC,2018,RPG,"Solid game, but too many bugs.",Offline
Red Dead Redemption 2,32,Kids,54.27,Nintendo Switch,2022,Strategy,"Great game, but the graphics could be better.",Offline
Bioshock Infinite,28,All Ages,30.70,Nintendo Switch,2015,Puzzle,"Solid game, but the graphics could be better.",Offline
The Witcher 3: Wild Hunt,28,All Ages,46.65,Xbox,2020,Strategy,"Amazing game, but too many bugs.",Online
Ghost of Tsushima,29,Adults,33.18,PC,2013,Shooter,"Amazing game, but the graphics could be better.",Offline
The Elder Scrolls V: Skyrim,23,Adults,29.68,PC,2016,Fighting,"Amazing game, but too many bugs.",Online
Just Dance 2024,39,All Ages,41.32,Mobile,2015,Simulation,"Great game, but the graphics could be better.",Offline
Super Smash Bros. Ultimate,38,All Ages,55.38,PlayStation,2011,Sports,"Disappointing game, but too many bugs.",Offline
Tetris,35,Adults,53.82,Mobile,2018,Fighting,"Amazing game, but the graphics could be better.",Offline
Hades,30,All Ages,30.38,Nintendo Switch,2022,Action,"Amazing game, but too many bugs.",Online
Tetris,17,All Ages,22.50,Nintendo Switch,2017,Adventure,"Solid game, but too many bugs.",Online
The Elder Scrolls V: Skyrim,26,Kids,48.40,Xbox,2016,Action,"Amazing game, but the graphics could be better.",Offline
Spelunky 2,25,Adults,40.63,Nintendo Switch,2020,Party,"Solid game, but the graphics could be better.",Online
Grand Theft Auto V,38,All Ages,52.95,Mobile,2022,Party,"Solid game, but the graphics could be better.",Online
Grand Theft Auto V,32,Kids,45.34,Mobile,2022,Strategy,"Great game, but too many bugs.",Offline
Animal Crossing: New Horizons,35,Kids,32.12,PC,2011,RPG,"Amazing game, but the graphics could be better.",Online
The Witcher 3: Wild Hunt,19,All Ages,26.21,PC,2022,Party,"Disappointing game, but the gameplay is amazing.",Online
Fall Guys,39,Adults,44.92,Nintendo Switch,2014,Strategy,"Disappointing game, but the gameplay is amazing.",Online
Tekken 7,18,Teens,25.82,PC,2012,Strategy,"Amazing game, but too many bugs.",Online
Pokémon Scarlet & Violet,23,Teens,21.85,Xbox,2010,Party,"Disappointing game, but the graphics could be better.",Online
Mario Kart 8 Deluxe,26,Teens,43.58,Mobile,2012,Fighting,"Solid game, but too many bugs.",Offline
Red Dead Redemption 2,35,Teens,43.96,Mobile,2019,Adventure,"Solid game, but too many bugs.",Online
Among Us,20,Adults,31.19,PlayStation,2011,Adventure,"Great game, but the gameplay is amazing.",Offline
Red Dead Redemption 2,20,Adults,29.08,PlayStation,2017,Puzzle,"Disappointing game, but the gameplay is amazing.",Online
Tomb Raider (2013),32,Adults,56.47,Nintendo Switch,2012,Adventure,"Solid game, but the gameplay is amazing.",Offline
Fall Guys,36,Kids,36.34,PC,2014,Party,"Great game, but the graphics could be better.",Offline
Tetris,33,Adults,51.81,Mobile,2018,Adventure,"Disappointing game, but too many bugs.",Online
Spelunky 2,41,Adults,45.19,PC,2012,RPG,"Great game, but too many bugs.",Offline
Mario Kart 8 Deluxe,27,All Ages,35.26,Xbox,2010,Simulation,"Great game, but the graphics could be better.",Online
Counter-Strike: Global Offensive,37,Adults,47.34,Nintendo Switch,2016,Adventure,"Great game, but too many bugs.",Offline
Half-Life: Alyx,25,Kids,35.83,Mobile,2023,Puzzle,"Disappointing game, but the graphics could be better.",Offline
FIFA 24,22,Teens,43.77,PC,2023,Shooter,"Solid game, but the gameplay is amazing.",Online
Pokémon Scarlet & Violet,28,Kids,38.10,Nintendo Switch,2011,Strategy,"Great game, but too many bugs.",Offline
Overwatch 2,30,Adults,30.50,Xbox,2023,Sports,"Disappointing game, but the gameplay is amazing.",Online
Halo Infinite,32,Adults,53.46,PC,2012,Adventure,"Disappointing game, but too many bugs.",Online
Hitman 3,39,Kids,52.82,PC,2013,Strategy,"Disappointing game, but too many bugs.",Offline
Just Dance 2024,43,All Ages,55.96,Mobile,2014,Shooter,"Disappointing game, but the graphics could be better.",Offline
Overwatch 2,29,Kids,44.38,Xbox,2015,Adventure,"Disappointing game, but the gameplay is amazing.",Offline
Stardew Valley,35,Teens,37.92,Nintendo Switch,2023,Adventure,"Disappointing game, but the graphics could be better.",Online
Rocket League,28,Teens,22.54,Mobile,2015,Action,"Solid game, but the graphics could be better.",Offline
Fall Guys,25,Teens,35.78,Nintendo Switch,2015,Action,"Great game, but the gameplay is amazing.",Offline
Hitman 3,32,All Ages,31.44,Nintendo Switch,2020,Party,"Amazing game, but the graphics could be better.",Online
Minecraft,29,Teens,48.08,Mobile,2021,Party,"Amazing game, but the graphics could be better.",Online
Hades,38,Kids,54.70,PlayStation,2013,RPG,"Great game, but too many bugs.",Online
Kingdom Hearts III,33,Adults,55.62,Xbox,2015,Party,"Solid game, but the graphics could be better.",Online
Tetris,33,Kids,48.51,PC,2010,Sports,"Great game, but the graphics could be better.",Online
Animal Crossing: New Horizons,31,All Ages,28.49,Xbox,2019,Fighting,"Solid game, but the gameplay is amazing.",Offline
The Witcher 3: Wild Hunt,32,Kids,55.02,Xbox,2011,Party,"Solid game, but too many bugs.",Online
Rocket League,26,Teens,47.90,PC,2017,Action,"Great game, but too many bugs.",Online
Bioshock Infinite,24,Kids,26.77,PC,2014,Sports,"Amazing game, but the graphics could be better.",Online
FIFA 24,24,Adults,31.86,Xbox,2015,Action,"Disappointing game, but the graphics could be better.",Online
The Sims 4,35,Kids,39.73,PC,2013,Action,"Amazing game, but the gameplay is amazing.",Online
The Elder Scrolls V: Skyrim,31,Kids,45.37,Mobile,2021,Sports,"Amazing game, but the graphics could be better.",Online
Super Smash Bros. Ultimate,37,Adults,43.71,PC,2013,Strategy,"Amazing game, but the graphics could be better.",Offline
Fortnite,28,Kids,23.99,Xbox,2014,Action,"Amazing game, but the graphics could be better.",Online
Tomb Raider (2013),45,All Ages,55.13,PlayStation,2022,Strategy,"Great game, but too many bugs.",Online
Pillars of Eternity II: Deadfire,40,All Ages,55.78,PC,2023,Fighting,"Disappointing game, but too many bugs.",Online
The Legend of Zelda: Breath of the Wild,30,Adults,40.37,PC,2014,Shooter,"Amazing game, but the gameplay is amazing.",Offline
Super Mario Odyssey,14,All Ages,27.09,Nintendo Switch,2011,Party,"Amazing game, but the gameplay is amazing.",Offline
Grand Theft Auto V,23,All Ages,25.90,PlayStation,2011,Strategy,"Disappointing game, but the graphics could be better.",Online
Rocket League,28,All Ages,33.63,Xbox,2021,Party,"Amazing game, but the gameplay is amazing.",Offline
Tetris,27,All Ages,51.94,PC,2014,Puzzle,"Amazing game, but too many bugs.",Offline
Half-Life: Alyx,33,All Ages,52.23,Nintendo Switch,2021,Adventure,"Disappointing game, but too many bugs.",Online
Kingdom Hearts III,25,Teens,23.17,Nintendo Switch,2017,Puzzle,"Great game, but too many bugs.",Online
The Sims 4,16,Teens,23.90,PlayStation,2012,Adventure,"Disappointing game, but too many bugs.",Offline
League of Legends,35,Teens,59.64,Xbox,2014,Action,"Great game, but too many bugs.",Offline
Portal 2,23,Teens,41.53,Xbox,2010,Puzzle,"Amazing game, but too many bugs.",Online
Tomb Raider (2013),36,All Ages,46.41,PC,2011,Strategy,"Amazing game, but the gameplay is amazing.",Online
Street Fighter V,35,Adults,56.71,PC,2020,Party,"Amazing game, but too many bugs.",Online
Animal Crossing: New Horizons,37,All Ages,56.30,Nintendo Switch,2023,Adventure,"Amazing game, but the graphics could be better.",Offline
Hades,27,All Ages,39.43,Mobile,2021,Action,"Solid game, but the gameplay is amazing.",Offline
The Elder Scrolls V: Skyrim,34,Kids,59.58,PlayStation,2017,Action,"Great game, but the graphics could be better.",Online
The Legend of Zelda: Breath of the Wild,15,Kids,23.83,PlayStation,2017,Shooter,"Great game, but the graphics could be better.",Offline
Half-Life: Alyx,26,Kids,43.38,Nintendo Switch,2016,Fighting,"Great game, but the gameplay is amazing.",Offline
League of Legends,39,All Ages,56.34,PlayStation,2011,RPG,"Solid game, but too many bugs.",Online
FIFA 24,26,Teens,28.25,PC,2017,Sports,"Disappointing game, but too many bugs.",Offline
Fortnite,29,Teens,21.99,Xbox,2015,Puzzle,"Amazing game, but the graphics could be better.",Offline
Overwatch 2,23,Adults,43.51,PlayStation,2017,Adventure,"Solid game, but the gameplay is amazing.",Offline
Tetris,45,Adults,59.21,Nintendo Switch,2022,Action,"Solid game, but too many bugs.",Online
Bioshock Infinite,32,Kids,31.02,Xbox,2018,RPG,"Solid game, but the gameplay is amazing.",Offline
Bioshock Infinite,42,Adults,48.05,Xbox,2010,Puzzle,"Solid game, but too many bugs.",Online
Mario Kart 8 Deluxe,26,All Ages,37.71,Mobile,2016,Simulation,"Amazing game, but too many bugs.",Online
Super Smash Bros. Ultimate,35,Teens,42.88,Xbox,2019,Simulation,"Great game, but the graphics could be better.",Online
Call of Duty: Modern Warfare 2,29,Adults,47.24,Mobile,2019,Simulation,"Amazing game, but the gameplay is amazing.",Offline
Pillars of Eternity II: Deadfire,31,Kids,40.93,Xbox,2015,RPG,"Amazing game, but too many bugs.",Online
Sid Meier’s Civilization VI,34,Kids,43.48,PlayStation,2016,Puzzle,"Solid game, but the gameplay is amazing.",Online
Fortnite,22,Adults,32.96,PC,2014,Simulation,"Amazing game, but the graphics could be better.",Online
Super Smash Bros. Ultimate,25,All Ages,43.93,Mobile,2015,Party,"Solid game, but too many bugs.",Offline
FIFA 24,22,Adults,27.19,Mobile,2023,Shooter,"Solid game, but the graphics could be better.",Online
Sid Meier’s Civilization VI,36,Kids,58.45,PC,2017,Action,"Solid game, but too many bugs.",Online
1000-Piece Puzzle,36,Kids,43.44,Nintendo Switch,2015,Adventure,"Amazing game, but the gameplay is amazing.",Offline
Halo Infinite,23,Kids,38.53,Mobile,2018,Shooter,"Disappointing game, but the gameplay is amazing.",Offline
The Legend of Zelda: Breath of the Wild,21,Kids,22.42,Nintendo Switch,2016,Adventure,"Disappointing game, but the graphics could be better.",Offline
Tomb Raider (2013),14,All Ages,23.73,Mobile,2010,Shooter,"Great game, but the graphics could be better.",Offline
Minecraft,33,All Ages,44.24,PC,2013,Strategy,"Disappointing game, but the graphics could be better.",Online
Grand Theft Auto V,22,Kids,23.49,Xbox,2017,Action,"Solid game, but too many bugs.",Offline
Stardew Valley,31,All Ages,31.03,PlayStation,2016,Action,"Disappointing game, but the gameplay is amazing.",Online
The Elder Scrolls V: Skyrim,36,Teens,55.71,Nintendo Switch,2015,Puzzle,"Amazing game, but too many bugs.",Offline
Counter-Strike: Global Offensive,23,Teens,30.39,Xbox,2022,Strategy,"Solid game, but too many bugs.",Offline
The Sims 4,29,Teens,26.91,PlayStation,2013,Strategy,"Solid game, but too many bugs.",Online
The Elder Scrolls V: Skyrim,27,Kids,50.45,Mobile,2020,Puzzle,"Solid game, but the graphics could be better.",Online
Rocket League,20,All Ages,29.32,Mobile,2020,Simulation,"Great game, but the graphics could be better.",Offline
Stardew Valley,14,Teens,20.90,PlayStation,2021,Adventure,"Disappointing game, but the graphics could be better.",Online
Tetris,33,All Ages,26.57,Xbox,2020,Simulation,"Disappointing game, but too many bugs.",Offline
Ghost of Tsushima,24,Adults,28.29,Nintendo Switch,2016,Shooter,"Disappointing game, but too many bugs.",Offline
Kingdom Hearts III,33,Teens,31.32,PlayStation,2014,Adventure,"Solid game, but the graphics could be better.",Online
Super Smash Bros. Ultimate,28,Kids,37.81,PlayStation,2021,Party,"Disappointing game, but the graphics could be better.",Offline
Cuphead,29,All Ages,23.76,Nintendo Switch,2015,Adventure,"Disappointing game, but too many bugs.",Offline
Pokémon Scarlet & Violet,44,Adults,55.10,Xbox,2016,Strategy,"Solid game, but the gameplay is amazing.",Offline
Stardew Valley,24,Teens,21.46,PC,2016,Fighting,"Solid game, but too many bugs.",Online
Spelunky 2,32,Kids,25.10,PlayStation,2022,Action,"Great game, but the gameplay is amazing.",Online
Red Dead Redemption 2,27,All Ages,34.83,Nintendo Switch,2012,Fighting,"Amazing game, but too many bugs.",Online
Hitman 3,30,Kids,24.75,Xbox,2021,Strategy,"Great game, but too many bugs.",Offline
Red Dead Redemption 2,35,Adults,51.93,Mobile,2014,RPG,"Disappointing game, but too many bugs.",Online
Fall Guys,32,Teens,29.78,Xbox,2011,Sports,"Amazing game, but the graphics could be better.",Offline
Half-Life: Alyx,16,Kids,21.07,Mobile,2023,Action,"Great game, but the gameplay is amazing.",Offline
Pokémon Scarlet & Violet,40,Teens,45.23,PlayStation,2015,Adventure,"Amazing game, but the gameplay is amazing.",Offline
Bioshock Infinite,28,Adults,27.74,PlayStation,2011,Action,"Disappointing game, but the gameplay is amazing.",Online
Animal Crossing: New Horizons,25,Teens,31.04,Nintendo Switch,2018,Sports,"Solid game, but the graphics could be better.",Offline
Tetris,21,Kids,21.09,Xbox,2020,Adventure,"Amazing game, but the graphics could be better.",Online
Overwatch 2,26,Kids,24.44,Xbox,2019,Sports,"Solid game, but the gameplay is amazing.",Online
Halo Infinite,28,Kids,39.58,PC,2010,Action,"Great game, but the graphics could be better.",Offline
Tomb Raider (2013),29,All Ages,36.36,Nintendo Switch,2013,Strategy,"Amazing game, but the graphics could be better.",Online
The Witcher 3: Wild Hunt,33,Teens,32.36,Nintendo Switch,2020,Puzzle,"Great game, but the gameplay is amazing.",Offline
Animal Crossing: New Horizons,26,Kids,47.49,Nintendo Switch,2021,Fighting,"Disappointing game, but the gameplay is amazing.",Offline
1000-Piece Puzzle,36,Kids,36.83,Xbox,2011,RPG,"Solid game, but too many bugs.",Online
FIFA 24,29,All Ages,52.19,PlayStation,2015,Strategy,"Solid game, but the gameplay is amazing.",Online
The Witcher 3: Wild Hunt,19,Teens,26.85,Mobile,2020,Action,"Solid game, but the graphics could be better.",Offline
Mario Kart 8 Deluxe,17,Teens,28.61,Mobile,2015,Adventure,"Solid game, but too many bugs.",Online
Hitman 3,18,All Ages,20.01,PlayStation,2023,Party,"Disappointing game, but too many bugs.",Online
Minecraft,30,Teens,30.31,PC,2012,Party,"Solid game, but the graphics could be better.",Online
Fall Guys,33,Kids,36.34,Xbox,2018,Action,"Disappointing game, but the graphics could be better.",Online
Super Mario Odyssey,31,Teens,48.81,PC,2016,Party,"Amazing game, but too many bugs.",Online
Fall Guys,39,Adults,50.98,PlayStation,2019,Party,"Great game, but the graphics could be better.",Offline
Super Smash Bros. Ultimate,36,All Ages,41.43,Mobile,2023,Action,"Solid game, but the graphics could be better.",Online
1000-Piece Puzzle,34,All Ages,50.54,Mobile,2020,Strategy,"Solid game, but the graphics could be better.",Offline
Sid Meier’s Civilization VI,28,All Ages,26.22,PC,2015,Strategy,"Solid game, but the gameplay is amazing.",Offline
Overwatch 2,26,Adults,44.87,PlayStation,2020,Action,"Disappointing game, but the graphics could be better.",Online
1000-Piece Puzzle,16,Adults,25.27,Nintendo Switch,2012,Sports,"Amazing game, but the gameplay is amazing.",Offline
Sid Meier’s Civilization VI,28,Teens,29.48,Mobile,2022,Puzzle,"Great game, but the graphics could be better.",Offline
FIFA 24,20,Teens,26.72,PlayStation,2021,Puzzle,"Great game, but the graphics could be better.",Offline
Overwatch 2,26,Kids,20.83,PC,2010,Adventure,"Solid game, but the graphics could be better.",Offline
Portal 2,26,Adults,43.73,Xbox,2010,Sports,"Solid game, but the gameplay is amazing.",Online
Sid Meier’s Civilization VI,28,Adults,37.07,PC,2018,Puzzle,"Solid game, but the graphics could be better.",Offline
Portal 2,36,Teens,48.13,Nintendo Switch,2023,Action,"Great game, but too many bugs.",Offline
1000-Piece Puzzle,37,Teens,57.64,Xbox,2022,Adventure,"Solid game, but the gameplay is amazing.",Offline
Pillars of Eternity II: Deadfire,33,All Ages,52.94,PC,2020,Shooter,"Disappointing game, but too many bugs.",Online
League of Legends,15,Teens,23.16,PC,2019,Simulation,"Amazing game, but the gameplay is amazing.",Online
Pokémon Scarlet & Violet,27,Kids,45.57,Xbox,2013,Puzzle,"Disappointing game, but too many bugs.",Offline
Tomb Raider (2013),13,Adults,26.40,PlayStation,2012,RPG,"Amazing game, but the gameplay is amazing.",Online
Tekken 7,29,Adults,32.31,Xbox,2020,RPG,"Solid game, but too many bugs.",Online
Halo Infinite,17,Teens,24.24,Mobile,2013,Simulation,"Great game, but the graphics could be better.",Online
Rocket League,31,Teens,28.78,PC,2015,Strategy,"Amazing game, but the graphics could be better.",Offline
Halo Infinite,28,All Ages,24.07,Nintendo Switch,2016,Sports,"Disappointing game, but the gameplay is amazing.",Offline
The Sims 4,30,Kids,50.41,Xbox,2020,Puzzle,"Great game, but the graphics could be better.",Online
Super Mario Odyssey,29,Adults,33.11,Mobile,2020,RPG,"Great game, but too many bugs.",Offline
Kingdom Hearts III,17,Teens,32.36,PlayStation,2015,Adventure,"Disappointing game, but the graphics could be better.",Offline
Halo Infinite,40,Kids,57.33,PC,2021,Simulation,"Amazing game, but too many bugs.",Online
The Elder Scrolls V: Skyrim,34,Kids,49.41,PlayStation,2021,Simulation,"Solid game, but too many bugs.",Offline
Minecraft,36,All Ages,44.89,PlayStation,2020,Fighting,"Disappointing game, but too many bugs.",Offline
Super Mario Odyssey,22,Adults,24.17,Xbox,2012,Action,"Solid game, but too many bugs.",Online
Just Dance 2024,38,All Ages,43.84,PC,2022,Shooter,"Disappointing game, but too many bugs.",Online
Tetris,30,All Ages,49.84,PC,2014,Action,"Solid game, but the gameplay is amazing.",Online
